,x,y,cam
228,38912,47104,0.25778016
229,54272,56320,0.28735188
230,82944,45056,0.15712963
231,49152,51200,0.27281123
232,80896,41984,0.16135766
233,17408,32768,0.28131998
234,73728,26624,0.26689705
235,35840,28672,0.13879272
236,70656,40960,0.27170825
237,86016,34816,0.2560644
238,89088,36864,0.25873142
239,27648,12288,0.2653725
240,77824,49152,0.32993922
241,69632,37888,0.25469026
242,32768,59392,0.2624286
243,25600,46080,0.19739811
244,39936,44032,0.2320729
245,28672,60416,0.2859549
246,51200,32768,0.23112772
247,27648,37888,0.29046363
248,54272,52224,0.2767869
249,67584,43008,0.29040262
250,69632,43008,0.28744063
251,91136,48128,0.22759409
252,50176,35840,0.34116825
253,74752,58368,0.16244303
254,78848,38912,0.26428553
255,46080,24576,0.37468827
256,86016,50176,0.26409614
257,27648,17408,0.3059788
258,30720,58368,0.23640823
259,89088,46080,0.2653168
260,79872,30720,0.27337715
261,15360,24576,0.31018218
262,45056,24576,0.3169715
263,40960,59392,0.2755984
264,44032,51200,0.21941541
265,55296,25600,0.2599748
266,61440,33792,0.22159456
267,73728,28672,0.30065653
268,87040,59392,0.220125
269,33792,35840,0.2298429
270,83968,27648,0.23035645
271,30720,55296,0.23175457
272,76800,27648,0.2940409
273,23552,43008,0.2573174
274,76800,37888,0.26979908
275,35840,47104,0.23793276
276,74752,37888,0.22970216
277,12288,39936,0.23359595
278,81920,60416,0.26079985
279,71680,59392,0.308379
280,40960,56320,0.2552037
281,27648,41984,0.24501775
282,83968,29696,0.23430763
283,34816,37888,0.20896964
284,51200,57344,0.2526501
285,25600,27648,0.14762874
286,33792,21504,0.19850293
287,83968,63488,0.31643575
288,39936,66560,0.25099212
289,61440,58368,0.2113016
290,90112,45056,0.25364587
291,23552,34816,0.2611672
292,36864,49152,0.23655048
293,40960,17408,0.25153145
294,37888,62464,0.22054234
295,15360,40960,0.23739612
296,46080,52224,0.24442653
297,66560,52224,0.24925044
298,17408,41984,0.21713415
299,70656,37888,0.25655738
300,82944,32768,0.24761505
301,59392,60416,0.3212275
302,77824,32768,0.25029957
303,50176,48128,0.06778022
304,28672,33792,0.19111705
305,70656,44032,0.25027573
306,17408,31744,0.28234372
307,67584,49152,0.27637395
308,25600,41984,0.24976785
309,76800,58368,0.2997669
310,79872,59392,0.26176453
311,51200,18432,0.25323784
312,91136,39936,0.21328752
313,78848,58368,0.24773848
314,43008,60416,0.27385974
315,49152,44032,0.13839021
316,56320,25600,0.26316372
317,54272,51200,0.322587
318,50176,59392,0.21873145
319,35840,23552,0.11868484
320,84992,48128,0.29366526
321,29696,46080,0.20986323
322,26624,5120,0.22681211
323,37888,34816,0.24493077
324,37888,22528,0.19519594
325,58368,56320,0.33663973
326,31744,39936,0.26598462
327,32768,22528,0.14884055
328,72704,55296,0.24782205
329,48128,48128,0.21117441
330,43008,23552,0.17390913
331,36864,50176,0.22082773
332,44032,36864,0.25610667
333,20480,52224,0.2093939
334,27648,20480,0.13471746
335,74752,47104,0.20230806
336,54272,37888,0.2197715
337,48128,21504,0.26365528
338,38912,17408,0.23830466
339,30720,2048,0.34814298
340,20480,29696,0.21800576
341,27648,46080,0.21302679
342,16384,24576,0.3123664
343,37888,23552,0.16229767
344,75776,25600,0.2446386
345,36864,58368,0.24764016
346,36864,38912,0.1997042
347,27648,5120,0.22069752
348,41984,31744,0.19932194
349,88064,47104,0.23104393
350,27648,21504,0.09967066
351,29696,27648,0.083247796
352,25600,35840,0.26022723
353,24576,31744,0.20311463
354,49152,35840,0.24357603
355,50176,29696,0.2470882
356,89088,35840,0.2760188
357,76800,41984,0.22901833
358,36864,26624,0.16065894
359,86016,58368,0.21312805
360,38912,30720,0.13635783
361,58368,20480,0.24449602
362,27648,48128,0.20034175
363,74752,39936,0.25160137
364,86016,43008,0.23177472
365,33792,28672,0.08510115
366,29696,16384,0.27755576
367,32768,47104,0.22921221
368,49152,13312,0.24634457
369,62464,30720,0.24348941
370,10240,28672,0.24895556
371,47104,51200,0.22967231
372,81920,35840,0.20211987
373,68608,50176,0.22788297
374,44032,31744,0.17421547
375,48128,50176,0.25334567
376,56320,49152,0.20238803
377,75776,27648,0.30919898
378,34816,23552,0.12285932
379,18432,30720,0.28913885
380,43008,65536,0.2481709
381,35840,36864,0.19432583
382,74752,60416,0.2961647
383,31744,30720,0.17289019
384,33792,30720,0.14433774
385,45056,54272,0.24395175
386,3072,27648,0.2310746
387,36864,16384,0.25913978
388,43008,48128,0.23060702
389,38912,26624,0.107867576
390,77824,64512,0.31050125
391,23552,20480,0.22670169
392,59392,19456,0.26060757
393,71680,34816,0.23975053
394,34816,53248,0.22719876
395,63488,25600,0.25098246
396,22528,21504,0.19410612
397,46080,37888,0.076782435
398,57344,19456,0.2736081
399,56320,38912,0.20325409
400,66560,51200,0.23516329
401,65536,56320,0.24147911
402,48128,39936,0.08618085
403,54272,40960,0.24595585
404,53248,24576,0.24550866
405,23552,28672,0.1992647
406,37888,52224,0.22277506
407,92160,36864,0.25903088
408,46080,48128,0.23866458
409,33792,29696,0.10958119
410,21504,47104,0.16219686
411,46080,18432,0.2574564
412,20480,26624,0.18249206
413,21504,29696,0.21084383
414,40960,16384,0.24404994
415,61440,51200,0.26763567
416,43008,18432,0.24085765
417,31744,38912,0.24847876
418,55296,30720,0.23433796
419,20480,14336,0.27758682
420,29696,59392,0.23295365
421,83968,31744,0.26565236
422,88064,44032,0.25343373
423,21504,37888,0.19742697
424,32768,17408,0.25554562
425,38912,14336,0.24850324
426,59392,49152,0.24549048
427,45056,61440,0.2967794
428,33792,22528,0.17141238
429,36864,24576,0.21301167
430,27648,15360,0.28739098
431,20480,47104,0.19334067
432,44032,23552,0.18781221
