,x,y,cam
0,81920,40960,0.11553146
1,48128,33792,0.21087544
2,39936,63488,0.78119504
3,55296,55296,0.18840824
4,5120,26624,0.4505213
5,91136,46080,0.5089923
6,64512,49152,0.729054
7,14336,43008,0.10161284
8,31744,33792,0.3506001
9,75776,57344,0.101120606
10,58368,58368,0.072287455
11,14336,39936,0.13900264
12,63488,51200,0.6154792
13,53248,52224,0.23645882
14,26624,37888,0.73855436
15,64512,57344,0.5461451
16,38912,39936,0.6472398
17,78848,32768,0.44937485
18,54272,63488,0.82808906
19,45056,46080,0.75013983
20,54272,16384,0.861019
21,57344,45056,0.6460561
22,41984,34816,0.21744533
23,57344,46080,0.6797272
24,36864,43008,0.81028473
25,18432,15360,0.4406334
26,43008,51200,0.47647947
27,72704,37888,0.6629218
28,73728,54272,0.19772209
29,57344,59392,0.66718435
30,51200,59392,0.69499445
31,24576,44032,0.6629472
32,87040,46080,0.5729936
33,55296,47104,0.7649467
34,40960,58368,0.89838046
35,33792,31744,0.14778821
36,41984,49152,0.65456694
37,52224,50176,0.2707829
38,46080,17408,0.66334486
39,77824,47104,0.34872612
40,18432,24576,0.49544293
41,38912,20480,0.40898886
42,23552,30720,0.2657995
43,77824,33792,0.5231564
44,48128,35840,0.1185421
45,26624,12288,0.62429017
46,33792,44032,0.4922462
47,53248,46080,0.5883957
48,50176,16384,0.78354466
49,23552,13312,0.6682748
50,27648,33792,0.44762298
51,56320,43008,0.70124555
52,50176,46080,0.27313676
53,44032,27648,0.25387144
54,35840,19456,0.43984053
55,59392,18432,0.8492131
56,32768,63488,0.8771402
57,33792,26624,0.28482488
58,56320,18432,0.8035842
59,81920,30720,0.72976625
60,31744,48128,0.55940187
61,22528,43008,0.750083
62,70656,48128,0.8837618
63,44032,47104,0.8217998
64,25600,22528,0.23472817
65,54272,48128,0.54932064
66,48128,65536,0.7535944
67,78848,48128,0.18120493
68,25600,18432,0.5696459
69,88064,32768,0.72094506
70,44032,68608,0.8882568
71,29696,56320,0.5989128
72,21504,15360,0.78464025
73,87040,31744,0.61349237
74,35840,16384,0.7740138
75,78848,60416,0.84089386
76,52224,18432,0.72439617
77,83968,51200,0.4832571
78,39936,48128,0.51567745
79,23552,45056,0.6242774
80,8192,31744,0.30934325
81,66560,44032,0.51226705
82,75776,52224,0.16541871
83,31744,16384,0.682533
84,81920,41984,0.15497625
85,44032,45056,0.7833692
86,91136,50176,0.6372434
87,57344,50176,0.72484726
88,44032,15360,0.6754841
89,33792,46080,0.5120483
90,34816,45056,0.40792638
91,65536,48128,0.803162
92,84992,50176,0.6255722
93,37888,33792,0.19298801
94,28672,37888,0.3997471
95,89088,39936,0.6573363
96,30720,30720,0.14039367
97,23552,25600,0.15474688
98,33792,14336,0.6804378
99,41984,17408,0.6817945
100,47104,39936,0.31446227
101,47104,46080,0.29004565
102,58368,46080,0.6981327
103,90112,37888,0.8234923
104,18432,29696,0.36311576
105,49152,39936,0.1726606
106,21504,32768,0.7276998
107,40960,31744,0.10193209
